ID,Name,Gender,Species,,First Appearance,Nº of Dolls,Has pet,Hair color,Skullete,Silhouette
neighthan-rot,Neighthan Rot,Male,Unicorn / Zombie,,Freaky Fusion,1,No,Black / Yellow / Red / Blue,,
operetta,Operetta,Female,Ghost,,Webisodes,12,Yes,Red / Black,,
peri-and-pearl-serpentine,Peri and Pearl Serpentine,Female,Sea monster,,Great Scarrier Reef,1,No,Blue / White,,
purrsephone,Purrsephone,Female,Werecat,,Webisodes,5,No,Black / White,,
quill-talyntino,Quill Talyntino,Female,Harpy,,Webisodes,0,No,Blue,,
robecca-steam,Robecca Steam,Female,Robot,,Webisodes,8,Yes,Black / Blue,,
rochelle-goyle,Rochelle Goyle,Female,Gargoyle,,Webisodes,11,Yes,Pink / White,,
scarah-screams,Scarah Screams,Female,Banshee,,Webisodes,4,No,Black,,
sirena-von-boo,Sirena Von Boo,Female,Ghost / Mermaid,,Freaky Fusion,1,No,Blue / Purple,,
skelita-calaveras,Skelita Calaveras,Female,Skeleton,,Scaris: City of Fright,5,No,Black / Orange,,
sloman-mortavitch,Sloman Mortavitch,Male,Zombie,,Webisodes,2,No,Blue,,
spectra-vondergeist,Spectra Vondergeist,Female,Ghost,,Webisodes,14,Yes,Purple,,
spelldon-cauldronello,Spelldon Cauldronello,Male,Warlock,,Books,1,No,Blue / Pink,,
toralei-stripe,Toralei Stripe,Female,Werecat,,Webisodes,10,Yes,Orange / Brown,,
twyla-boogeyman,Twyla Boogeyman,Female,Boogeyman,,13 wishes,8,Yes,Blue / Purple,,
venus-mcflytrap,Venus McFlytrap,Female,Plant monster,,Webisodes,10,Yes,Pink / Green,,
wydowna-spider,Wydowna Spider,Female,Spider,,Webisodes,3,Yes,Red,,
clair,Clair,Female,Human,,Ghouls Rule,0,No,Black / Pink,,
djinni-grant,Djinni Grant,Female,Genie,,13 wishes,1,No,Pink / Black,,
elle-eedee,Elle Eedee,Female,Robot,,Boo York Boo York,1,No,Blue / Black,,
fawn,Fawn,Female,Deer,,13 wishes,0,No,Brown,,
garrott-du-roque,Garrott du Roque,Male,Gargoyle,,Scaris: City of Fright,1,No,Black,,
honey-swamp,Honey Swamp,Female,Honey Island Swamp Monster,,Frights Camera Action,4,No,Green,,
kiyomi-haunterly,Kiyomi Haunterly,Female,Faceless Ghost,,Haunted,1,No,Purple / Blue,,
lilith-van-hellscream,Lilith Van Hellscream,Female,Human,,Ghouls Rule,0,No,Black / Purple,,
luna-mothews,Luna Mothews,Female,Moth,,Boo York Boo York,1,No,Yellow / Black,,
mouscedes-king,Mouscedes King,Female,Rat Monster,,Boo York Boo York,2,No,Pink,,
porter-geiss,Porter Geiss,Male,Poltergeist,,Haunted,1,Yes,Green,,
posea-reef,Posea Reef,Female,Sea monster,,Great Scarrier Reef,1,No,Purple / Blue,,
river-styxx,River Styxx,Female,Grim Reaper,,Haunted,1,Yes,Purple / Blue / Pink,,
seth-ptolemy,Seth Ptolemy,Male,Mummy,,Boo York Boo York,0,No,Black / Gold,,
vandala-doubloons,Vandala Doubloons,Female,Ghost Pirate,,Haunted,1,Yes,Blue / White,,
ca-cupid,C.A. Cupid,Female,Eros,,Webisodes,2,No,Pink,,
casta-fierce,Casta Fierce,Female,Witch,,Webisodes,1,No,Black / Green,,
clawdia-wolf,Clawdia Wolf,Female,Werewolf,,Frights Camera Action,1,No,Yellow,,
elissabat,Elissabat,Female,Vampire,,Frights Camera Action,4,No,Black / Purple,,
nefera-de-nile,Nefera de Nile,Female,Mummy,,Webisodes,3,Yes,Blue / Gold,,
victor-frankenstein,Victor Frankenstein,Male,Human,,Freaky Fusion,0,No,White / Grey,,
viperine-gorgon,Viperine Gorgon,Female,Gorgon,,Frights Camera Action,2,No,Pink / White,,
madison-fear,Madison Fear,Female,Sirena,,Music video,1,No,Blue,,
boo-lu-cerone,Boo-Lu Cerone,Female,Ghost,,Webisodes,0,No,White / Pink,,
grimmily-anne-mcshmiddlebopper,Grimmily Anne McShmiddlebopper,Female,Loch Ness Monster,,Webisodes,1,No,Green,,
headless-headmistress-bloodgood,Headless Headmistress Bloodgood,Female,Headless Horseman,,Webisodes,1,Yes,Black,,
moanatella-ghostier,Moanatella Ghostier,Female,Ghost,,Scaris: City of Fright,0,No,Black / Purple,,
principal-revenant,Principal Revenant,Female,Ghost,,Haunted,0,No,Purple / Grey,,
aery-evenfall,Aery Evenfall,Female,Nightmare Pegasus,,Fright-Mares,1,No,Purple / Pink,,
bay-tidechaser,Bay Tidechaser,Female,Sea-Horse Centaur,,Fright-Mares,1,No,Blue / Yellow,,
frets-quartzman,Frets Quartzman,Female,Gargoyle Centaur,,Fright-Mares,1,No,Pink / Grey,,
pyxis-prepstockings,Pyxis Prepstockings,Female,Pegasus Centaur,,Fright-Mares,1,No,Blue / Pink,,
caprice-whimcanter,Caprice Whimcanter,Female,Dragon Centaur,,Fright-Mares,1,No,White / Pink,,
fawntine-fallowheart,Fawntine Fallowheart,Female,Deer Centaur,,Fright-Mares,1,No,Brown / Pink,,
flara-blaze,Flara Blaze,Female,Phoenix Centaur,,Fright-Mares,1,No,Orange / Yellow,,
meadoe-flurry,Meadoe Flurry,Female,Yeti Centaur,,Fright-Mares,1,No,Blue / White,,
merry-trotabout,Merry Trotabout,Female,Centaur,,Fright-Mares,1,No,Pink / Purple,,
olympia-wingfield,Olympia Wingfield,Female,Vampire Pegasus,,Fright-Mares,1,No,Pink / Black,,
penepole-steamtail,Penepole Steamtail,Female,Butterfly Centaur,,Fright-Mares,1,No,Blue / Purple,,
clawvennus,Clawvennus,Female,Werewolf / Plant monster,,Freaky Fusion,1,No,Pink / Green,,
dracubecca,Dracubecca,Female,Vampire / Robot,,Freaky Fusion,1,No,Black / Pink / Blue,,
lagoonafire,Lagoonafire,Female,Sea monster / Dragon,,Freaky Fusion,1,No,Green / Yellow,,
cleolei,Cleolei,Female,Mummy / Werecat,,Freaky Fusion,1,No,Brown / Orange / Gold,,
